epoch,train_loss,train_acc,val_loss,val_acc
1,1.513404,0.198347,1.472990,0.200000
2,1.459423,0.200990,1.434358,0.208800
3,1.440251,0.208804,1.428798,0.216533
4,1.296860,0.317505,1.030267,0.502267
5,1.018437,0.536158,0.664330,0.752667
6,0.812546,0.675925,0.504478,0.833867
7,0.745700,0.710051,0.382006,0.891067
8,0.693218,0.735779,0.409520,0.867467
9,0.657184,0.751740,0.331393,0.910800
10,0.644074,0.757007,0.353967,0.912533
11,0.616730,0.769878,0.293898,0.935067
12,0.601907,0.776118,0.303488,0.934400
13,0.593213,0.780895,0.294886,0.926667
14,0.577624,0.787039,0.268130,0.944533
15,0.568181,0.790972,0.282059,0.939200
16,0.557028,0.795644,0.261272,0.945067
17,0.545796,0.802059,0.282308,0.949467
18,0.542746,0.803150,0.256534,0.942667
19,0.532877,0.806991,0.263430,0.939200
20,0.526800,0.809749,0.257764,0.945600
21,0.536852,0.802569,0.243666,0.955200
22,0.507701,0.819174,0.244237,0.947200
23,0.523604,0.809683,0.240893,0.953333
24,0.519230,0.810531,0.247436,0.953067
25,0.504057,0.819851,0.229410,0.955067
26,0.511611,0.812811,0.228367,0.954267
27,0.510342,0.815601,0.235843,0.958667
28,0.499481,0.819744,0.233923,0.955467
29,0.492041,0.825206,0.243510,0.955333
30,0.505874,0.817474,0.241411,0.957467
31,0.494869,0.822981,0.230923,0.958533
32,0.506533,0.815862,0.229969,0.959200
33,0.508146,0.817783,0.228244,0.956533
34,0.503879,0.819413,0.234052,0.957333
35,0.498359,0.819364,0.234954,0.956933
36,0.501329,0.820800,0.228770,0.958000
37,0.508295,0.815785,0.235973,0.957600
38,0.507179,0.817128,0.234593,0.956133
39,0.491975,0.825117,0.243784,0.954400
40,0.504180,0.818390,0.250062,0.955467
